profile_id	member_count	member_share	top_dimensions	c_acidity	c_sweetness	c_body	c_floral	c_fruity	c_nutty_chocolate	c_fermented_winey	c_bitter_roasted	c_spice	c_herbal_green	c_woody_earthy	c_defect	family_mix	mean_defect_axis	owner_name_zh	owner_name_en	benchmark_beans	owner_reviewed
profile-v1:00	1343	0.165	fruity=0.79|acidity=0.42|sweetness=0.40	0.4193	0.3989	0.0803	0.0998	0.7916	0.0946	0.0814	0.0683	0.0220	0.0336	0.0160	0.0025	ace_cup_of_excellence=925|coffeereview_kaggle_parsed=359|zenodo_golovinsky_q_grader_dataset=35	0.0024				false
profile-v1:12	1169	0.144	nutty_chocolate=0.61|fruity=0.57|acidity=0.39	0.3918	0.2232	0.2442	0.0277	0.5687	0.6103	0.0565	0.1922	0.0113	0.0075	0.0106	0.0033	coffeereview_kaggle_parsed=1116|ace_cup_of_excellence=35|zenodo_golovinsky_q_grader_dataset=15	0.0031				false
profile-v1:15	983	0.121	sweetness=0.72|fruity=0.54|acidity=0.32	0.3155	0.7179	0.1810	0.1426	0.5363	0.1670	0.0517	0.1047	0.0244	0.0198	0.0438	0.0032	coffeereview_kaggle_parsed=666|ace_cup_of_excellence=300|zenodo_golovinsky_q_grader_dataset=14	0.0030				false
profile-v1:07	757	0.093	nutty_chocolate=0.88|body=0.28|bitter_roasted=0.25	0.2449	0.1198	0.2779	0.0509	0.0621	0.8821	0.0063	0.2500	0.0116	0.0346	0.0099	0.0022	coffeereview_kaggle_parsed=707|frontiers_inera_robusta_q_grader_panel=31|zenodo_golovinsky_q_grader_dataset=12	0.0021				false
profile-v1:13	720	0.088	nutty_chocolate=0.61|woody_earthy=0.54|bitter_roasted=0.38	0.2199	0.1720	0.2138	0.0535	0.2432	0.6149	0.0412	0.3752	0.0257	0.0072	0.5414	0.0035	coffeereview_kaggle_parsed=706|zenodo_golovinsky_q_grader_dataset=11|ace_cup_of_excellence=2	0.0032				false
profile-v1:10	639	0.078	fruity=0.71|acidity=0.64|body=0.25	0.6438	0.1046	0.2530	0.0305	0.7099	0.0286	0.0560	0.0342	0.0215	0.0078	0.0060	0.0050	coffeereview_kaggle_parsed=580|ace_cup_of_excellence=55|project_origin=3	0.0047				false
profile-v1:11	606	0.074	sweetness=0.90|nutty_chocolate=0.24|body=0.23	0.2098	0.9007	0.2306	0.1156	0.0492	0.2443	0.0105	0.1234	0.0123	0.0070	0.0214	0.0034	coffeereview_kaggle_parsed=560|ace_cup_of_excellence=35|zenodo_golovinsky_q_grader_dataset=8	0.0031				false
profile-v1:14	592	0.073	fruity=0.60|woody_earthy=0.55|acidity=0.40	0.4003	0.2254	0.2273	0.0389	0.5998	0.1108	0.0706	0.2432	0.0194	0.0075	0.5469	0.0054	coffeereview_kaggle_parsed=585|ace_cup_of_excellence=6|zenodo_golovinsky_q_grader_dataset=1	0.0049				false
profile-v1:09	387	0.048	floral=0.72|acidity=0.37|fruity=0.33	0.3717	0.1866	0.2820	0.7155	0.3337	0.3230	0.0279	0.1299	0.0264	0.0259	0.0280	0.0039	coffeereview_kaggle_parsed=371|ace_cup_of_excellence=14|zenodo_golovinsky_q_grader_dataset=2	0.0034				false
profile-v1:04	325	0.040	woody_earthy=0.86|bitter_roasted=0.36|sweetness=0.22	0.1627	0.2241	0.2206	0.0569	0.0305	0.0494	0.0583	0.3575	0.0318	0.0094	0.8577	0.0110	coffeereview_kaggle_parsed=316|zenodo_golovinsky_q_grader_dataset=6|ace_cup_of_excellence=3	0.0099				false
profile-v1:03	273	0.034	spice=0.75|acidity=0.31|fruity=0.29	0.3119	0.2334	0.2681	0.0609	0.2935	0.2826	0.0306	0.2176	0.7467	0.0166	0.0234	0.0037	coffeereview_kaggle_parsed=268|ace_cup_of_excellence=4|zenodo_golovinsky_q_grader_dataset=1	0.0032				false
profile-v1:08	217	0.027	bitter_roasted=0.87|nutty_chocolate=0.26|body=0.22	0.2021	0.1629	0.2153	0.0311	0.2012	0.2563	0.0285	0.8682	0.0138	0.0045	0.0438	0.1499	coffeereview_kaggle_parsed=209|ace_cup_of_excellence=3|zenodo_golovinsky_q_grader_dataset=3	0.1312				false
profile-v1:01	60	0.007	fermented_winey=0.65|acidity=0.52|nutty_chocolate=0.48	0.5212	0.0103	0.0421	0.1102	0.0115	0.4830	0.6519	0.1431	0.0000	0.1877	0.0082	0.0000	frontiers_inera_robusta_q_grader_panel=48|coffeereview_kaggle_parsed=10|frontiers_cenicafe_lengupa_trained_cuppers=2	0.0000				false
profile-v1:06	47	0.006	herbal_green=0.77|acidity=0.36|fruity=0.34	0.3567	0.1926	0.2378	0.2152	0.3438	0.0701	0.0461	0.0647	0.0111	0.7749	0.0521	0.0022	coffeereview_kaggle_parsed=41|ace_cup_of_excellence=3|frontiers_cenicafe_lengupa_trained_cuppers=2	0.0019				false
profile-v1:02	12	0.001	defect=0.99|body=0.09|woody_earthy=0.06	0.0577	0.0000	0.0872	0.0000	0.0000	0.0316	0.0119	0.0463	0.0000	0.0000	0.0595	0.9911	coffeereview_kaggle_parsed=10|zenodo_golovinsky_q_grader_dataset=1|frontiers_cenicafe_lengupa_trained_cuppers=1	0.9506				false
profile-v1:05	12	0.001	body=0.91|acidity=0.36|sweetness=0.22	0.3613	0.2184	0.9065	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	coffeereview_kaggle_parsed=12	0.0000				false
